id,eng,chn
4323,serve,vt.为...服务招待可作...用对待发球
4324,service,n.服务行政部门公务部门服役发球发球方式vt.维护保养
4325,session,n.会议一段时间开庭期市盘学期adj.短期的
4326,set,"vt.放安置设定vi.(太阳)落下去n.组合集合设定一套一副一局比
赛"
4327,setting,n.安装调整环境放置周围(为诗等谱写的)乐曲
4328,settle,"vt.安排安放安顿调停解决决定付清(欠款)vi.定居降落n.有背的
长凳"
4329,settlement,n.解决殖民殖民地安置协议结算住宅区
4330,seven,num.七七个(人或物)
4331,seventeen,num.十七十七个
4332,seventh,num.第七七分之一n.第七七分之一adj.第七的adv.第七
4333,seventy,num.七十七十个
4334,several,adj.几个数个各自的pron.若干
4335,severe,adj.严格的严厉的剧烈的严重的严峻的
4336,severely,adv.严厉地严格地严重地(艰难地紧凑地纯朴地)
4337,sew,vt.缝制缝合vi.缝纫
4338,sex,n.性别性性欲vt.区别...性别引起...性欲
4339,sexual,"a. 性的,性别的"
4340,shabby,a.褴褛的；破旧的
4341,shade,n.荫遮光物荫凉处色度稍微vi.荫蔽遮蔽渐变微减
4342,shadow,n.阴影阴影子阴暗预兆跟踪盯梢的人
4343,shady,adj.成荫的阴凉的可疑的
4344,shaft,n.(工具的)柄，杆状物
4345,shake,"vt.摇使震动挥拳摇晃去除动摇排掉(灰尘)握手vi.摇晃颤抖跌跌
撞撞握手发颤音n摇动摇晃震动地震颤抖(音)奶昔短时间"
4346,shall,aux.v.将要必须应应该一定
4347,shallow,adj.浅的浅薄的肤浅的浅显易懂的n.(pl.)浅滩浅处v.变浅
4348,shame,n.羞耻羞愧羞辱遗憾的事vt.使羞愧
4349,shampoo,vt.用洗发剂洗洗(头发地毯等)n.洗头洗发剂洗涤剂
4350,shape,n.形状情况形式定形身材vt.定形使... 成形塑造
4351,share,n.份份额股份部份分担犁头vt.分享共有分配vi.分享
4352,sharp,"adj.锋利的敏锐的刺耳的急剧的清晰的adv.时刻，正准n.升半音
v.升音"
4353,sharpen,vt.削尖使敏锐使...尖锐变为锐利加剧(苦痛等)
4354,sharply,adv.锐利地敏锐地严厉地厉害地轮廓清晰、线条分明地
4355,shatter,vt.粉碎，破碎；毁坏
4356,shave,vt.剃修面擦过消减价格vi.修面刮胡子勉强通过n.修面刮胡子
4357,she,pron.(主格)她
4358,shear,"vt.剪剪掉剥夺割vi.剪修剪切割剥夺穿越n.修剪剪下的东西羊的
一岁"
4359,shed,vt.散发脱落使...流出除掉n.车棚小屋贷棚脱落物
4360,sheep,n.羊绵羊
4361,sheer,a.纯粹的；全然的；陡峭的
4362,sheet,"n.被单床单纸张薄板张片vt.盖上被单遍布使成片状vi.成片落下
或流动adj.片状的"
4363,shelf,n.搁板(状物)岩棚架子
4364,shell,n.壳贝壳外形炮弹v.去壳脱落炮击拾贝壳n.
4365,shelter,n.隐蔽处掩蔽庇护庇护所避难所v.庇护保护隐匿
4366,shepherd,n.牧羊人羊倌牧师指导者v.看守领导指导
4367,shield,n.盾盾状物防护物vt.保护遮蔽
4368,shift,vt.替换转移变声vi.改变定责更衣n.转换交换变化移动接班者
4369,shilling,n.先令(货币单位)
4370,shine,"vi.照耀发光表现出众闪耀着vt.使发光照射在...上擦亮n.光光
泽阳光光辉喜欢"
4371,ship,"n.(大)船海船舰船员飞船vt.以船运送乘船运送进水在船上工作
vi.上船坐船运送在船上工作"
4372,shipment,n.装货；装载的货物
4373,shirt,n.(男式)衬衫
4374,shiver,vi.颤抖哆嗦vt.颤动(碎裂)n.冷颤(碎块)
4375,shock,n.冲击震惊冲突震惊休克vi.震动冲突使...受电击
4376,shoe,n.鞋
4377,shoot,vt.发射射中射击发出发芽vi.飞驰n.发芽射击芽发射
4378,shop,n.商店店铺车间vi.购物寻找vt.购物逛商店
4379,shopkeeper,n.店主零售商人
4380,shopping,n.买东西购物动词shop的现在分词形式
4381,shore,n.滨岸国家陆地斜撑柱vt.(up)支撑支持
4382,short,adj.短的短期的矮的短暂的n.短裤adv.短暂地突然地
4383,shortage,n.不足缺少不足额
4384,shortcoming,n.短处缺点
4385,shortly,adv.立刻马上简短地
4386,shot,"n.发射弹丸射门炮弹射击射手努力v.射击发出发芽(shoot的过去
式和过去分词)adj.杂色的破烂不堪"
4387,should,aux.v.将万一就应该竟然可能
4388,shoulder,n.肩肩膀挑起角度交接处
4389,shout,n.呼喊突发的大叫vt.高声呼喊呼叫vi.呼叫突然喊叫
4390,show,vt.给...看表明表示显现展现指示n.显示表现表演事情
4391,shower,"n.阵雨(一)阵淋浴vi.倾盆而下淋浴vt.淋湿下骤雨使(大量东西)
落在某人身上"
4392,shrewd,"a. 精明的,敏锐的,机灵的"
4393,shriek,vi.尖声喊叫n.尖叫声
4394,shrink,vi.收缩缩小退缩萎缩vt.使收缩n.收缩萎缩
4395,shrug,vt.&vi.耸(肩) n.耸肩
4396,shut,"vt.关上闭上关闭防止进入禁闭合上停止或中止vi.关闭停止或中
止n.关闭adj.关闭的合拢的围绕的"
4397,shutter,n.百叶窗；(相机)快门
4398,shuttle,n.(织机的)梭
4399,shy,"adj.易受惊的害羞的胆怯的迟疑的vi.惊退畏缩乱投vt.乱投n.投
掷惊避"
4400,sick,adj.有病的恶心的腻烦的晕的n.病人呕吐物vt.追逐攻击唆使
4401,sickness,n.疾病
4402,side,n.边旁边一方侧方面adj.旁的侧的vt.支持同意vi.支持
4403,sideways,adv.斜着斜向一边地向傍边斜地里向侧面地adj.傍边的向侧面的
4404,sigh,n.呼吸叹息(带有情感)vi.发出叹息的声音感叹vt.叹息
4405,sight,n.视力见情景景观眼界vt.看见观看vi.瞄准
4406,sightseeing,n.观光游览动词sightsee的现在分词
4407,sign,n.符号招牌正负号手势迹象签名v.签做手势做标记
4408,signal,n.信号导火线动机vi.发信号vt.发信号标志adj.显著的
4409,signature,n.署名签字签名签署书帖有特征的符号
4410,significance,n.意义意味重要性
4411,significant,"n.有意义的重要的意味深长的相当数量的重大的n.(复)有意义的
事物标志"
4412,signify,vt.表示，意味着
4413,silence,n.沉默寂静vt.使沉默使安静
4414,silent,adj.沉默的寂静无声的安静的不吵闹的无言的n.(复数)默剧
4415,silicon,n.硅(旧名矽)
4416,silk,n.蚕丝丝绸丝织品adj.丝的
4417,silly,adj.傻的愚蠢的淳朴的晕的
4418,silver,n.银银子银器adj.银色的银的vt.镀银变成银白色
4419,similar,adj.相似的类似的同样的
4420,similarly,adv.类似地相似地
4421,simple,"adj.简单的朴素的无辜的天真的基本的纯粹的n.平民精神病人草
药"
4422,simplicity,n.简单简易朴素单纯简朴
4423,simplify,vt.简化使单纯
4424,simply,adv.简单地朴素地仅仅完全地
4425,simulate,"vt. 模拟,假装,模仿"
4426,simultaneous,a.同时的，同时存在的
4427,sin,n.罪，罪孽 vi.犯罪
4428,since,conj.从...以来因为既然自从adv.后来prep.自从
4429,sincere,adj.真诚的真挚的
4430,sing,vt.唱鸣唱用诗赞美叫响vi.唱歌n.合唱
4431,singer,n.歌唱家歌手鸣禽烧毛工烧毛机Singer：辛格(姓氏)
4432,single,"adj.单一的独身的单纯的n.单程票单曲单人房单身者vt.单独挑
出vi.(棒球)作一垒打"
4433,singular,adj.单一的非凡的个人的单数的独一的唯一的n.单数
4434,sink,"vi.下沉下垂降低下落陷于倾斜恶化渗透vt.下沉陷于倾斜减少n.
接收端沟渠污水槽散热器"
4435,sir,n.先生阁下...爵士
4436,sister,n.姐妹姐妹护士长
4437,sit,vi.坐就坐孵vt.使坐担任开会孵n.坐
4438,site,n.地点地基场所位置现场vt.使...位于
4439,situated,a.位于…的
4440,situation,n.位置处境形势局面状况职位
4441,six,num.六六个
4442,sixteen,num.十六十六个
4443,sixth,num.第六六分之一n.六分之一六度音adj.第六的
4444,sixty,num.六十六十个n.六十adj.六十的六十个的
4445,size,"n.大小体积尺码尺寸vt.按大小排列(或分类)用... 填充(某
物)adj.一定大小的"
4446,skate,n.冰鞋滑冰vi.滑冰溜冰vt.滑冰
4447,skeleton,n.骨骼，骷髅；骨架
4448,skeptical,"a. 怀疑的,多疑的"
4449,sketch,n.略图速写素描概略概述草图小品vt.描绘略图vi.写生
4450,ski,n.滑橇滑雪滑雪板vi.滑雪adj.滑雪(用)的
4451,skill,n.技能技巧熟练
4452,skilled,adj.有技能的熟练的
4453,skillful,adj.灵巧的娴熟的
4454,skim,"vt.掠过擦过滑过略读撇去浮沫vi.掠过覆盖了一层浮沫侵吞钱财
n.一层浮沫略读脱脂物adj.撇去浮沫的由脱脂乳做的"
4455,skin,n.皮皮肤兽皮外皮皮囊v.剥皮削皮adj.色情的
4456,skip,vi.跳；跳绳；略过
4457,skirt,"n.女裙边缘郊区vt.位于...边缘装边于回避绕开vi.形成边缘
绕...走避开"
4458,sky,n.天天空v. <英>把...投向空中将...高挂
4459,slack,a.松弛的; 萧条的;懈怠的；vt.使松弛
4460,slam,"vt.使劲关砰地放下猛然关上砰地关上猛烈抨击vi.砰地关上猛攻
猛烈抨击n.砰然声猛然猛烈的抨击"
4461,slap,vt.掴，拍 n.巴掌，拍
4462,slaughter,vt.&n.屠杀，屠宰
4463,slave,"n.奴隶苦工完全受控制的人劳工从动装置vt.对另一种装置作出
直接回应vi.拼命工作贩卖奴隶"
4464,slavery,n.奴隶制度苦役奴役奴隶身份
4465,sleep,n.睡眠睡觉vi.& vt.睡
4466,sleepy,adj.想睡的寂静的
4467,sleeve,n.袖子袖套套管
4468,slender,adj.细长的微薄的苗条的少量的
4469,slice,n.薄片切片薄的切片部分锅铲vt.切成薄片大幅降低
4470,slide,vi.滑跌落vt.使滑动n.滑幻灯片雪崩山崩滑坡滑梯
4471,slight,adj.细长的轻微的纤细的脆弱的vt.轻视忽略n.轻蔑
4472,slightly,adv.稍微些微地有点苗条地
4473,slim,a.细长的；微小的
4474,slip,"vi.滑跤滑落溜滑行下跌脱落犯错vt.使滑动偷偷迅速塞(给)匆忙
穿或脱摆脱忽略使脱臼n.滑疏漏小错误下跌船台码头衬裙枕头套"
4475,slipper,n.拖鞋便鞋
4476,slippery,adj.滑的使人滑跤的狡猾的不可靠的
4477,slit,n.裂缝投币口vt.切开纵切撕开扯裂
4478,slogan,n.标语，口号
4479,slope,n.倾斜斜面斜坡斜线斜率vi.倾斜有坡度vt.使倾斜
4480,slot,"n. 缝,狭槽,位置,职位"
4481,slow,adj.慢的迟钝的adv. 慢慢地v.放慢减速
4482,slowly,adv.慢慢地
4483,slum,n.贫民窟贫民区vi.访问贫民区
4484,sly,adj.狡猾的躲躲闪闪的诡密的偷偷摸摸的
4485,small,adj.小的少的小型的adv.些许地n.狭小部分
4486,smart,"adj.巧妙的洒脱的聪明的时髦的漂亮的敏捷的轻快的整洁的vi.
刺痛难过烦恼n.刺痛苦恼adv.轻快地机灵地整齐地漂亮地"
4487,smash,vt.打碎，打破，粉碎
4488,smell,n.嗅觉气味味道vt.嗅闻探出发臭vi.闻发臭
4489,smile,vi.微笑赞许一笑而过vt.微笑微笑地表示以微笑完成n.微笑笑容
4490,smog,n.烟雾
4491,smoke,n.烟抽烟无常的事物vi.冒烟吸烟以烟熏
4492,smooth,"adj.平滑的平静的平稳的流畅的安祥的圆滑的搅拌均匀的vt.使
光滑磨光安慰理顺(羽毛)vi.变光滑"
4493,smoothly,adv.光滑地平滑地平稳地流畅地
4494,smuggle,vt.私运 vi.走私
4495,snack,n.快餐，小吃
4496,snake,n.蛇v.蜿蜒扭曲
4497,snap,vt.猛咬，突然折断
4498,snatch,"n. 抢夺,攫取,片段 vt. 夺取,攫取"
4499,snow,n.雪下雪似雪花的东西粉状物vi.下雪vt.雪一般落下使雪白欺骗
4500,snowstorm,n.雪暴暴风雪
4501,snowy,adj.雪的下雪的多雪的被雪所覆盖着的
4502,so,"adv.这样这么非常如此如是同样conj.所以因此adj.真的pron.这
样"
4503,soak,"vt.浸泡使...湿透浸泡在液体中浸洗吸入使某人喝醉向某人敲竹
杠vi.浸泡浸入液体渗透感化(某人)无节制地喝酒n.浸湿透喝醉"
4504,soap,n.肥皂vt.用肥皂洗阿谀奉承
4505,soar,"vi. 猛增，高耸，高飞,翱翔"
4506,sob,vi.啜泣呜咽n.空间轨道的轰炸机呜咽哭泣
4507,sober,"adj.清醒的适度的沉着冷静的稳重的颜色暗淡的vt.使清醒使沉
着vi.清醒冷静下来"
4508,so-called,adj.所谓的号称的
4509,soccer,n.英式足球
4510,social,adj.社会的社交的群居的社团的
4511,socialism,n.社会主义
4512,socialist,adj.社会主义的n.社会主义者
4513,society,n.社会团体社交界阶层圈子
4514,sociology,n.社会学
4515,sock,n.短袜vt. 给...穿短袜v.狠揍痛打n.重击犁头犁刃轻软鞋喜剧
4516,soda,n.碳酸钠纯碱汽水苏打
4517,soft,"adj.软的柔软的柔和的温和的不强烈的轻的adv.柔软地温和地n.
柔软的东西"
4518,softly,adv.柔软地温柔地柔和地静静地
4519,software,n.(计算机的)软件
4520,soil,"n.泥土土壤土地污物粪便vt.弄脏弄污vi.变脏vt.用青草饲料喂
养"
4521,solar,adj.太阳的太阳能的日光的
4522,soldier,"n.(陆军)士兵军人偷懒者,兵蚁vi.当兵"
4523,sole,"n.脚底鞋底袜底sole或soles鳎鱼adj.唯一的单独的独占的vt.给
(鞋)换底"
4524,solely,adv.单独地独自地唯一地
4525,solemn,adj.庄严的严肃的隆重的
4526,solid,adj.固体的结实的实心的可靠的n.固体立方体adv.一致地
4527,solidarity,n.团结；休戚相关
4528,solitary,"n. 独居者 a. 孤独的,独居的"
4529,solo,n.独唱，独奏；独唱曲
4530,soluble,adj.可溶的可以解决的
4531,solution,n.解决解答解决办法溶解溶液
4532,solve,vt.解答解释解决
4533,some,adj.一些若干adv.大约在某种程度上pron.一些(人物)若干
4534,somebody,pron.某人有人n.重要人物
4535,somehow,adv.由于某种原因不知怎么地以某种方式
4536,someone,pron.某人有人
4537,something,pron.某事某物有价值或重要的人或物adv.稍微有点非常
4538,sometime,adv.在某一时候从前改天来日adj.以前的某一时间
4539,sometimes,adv.不时有时间或
4540,somewhat,pron.一点儿一些某物adv.有点多少几分
4541,somewhere,ad.在某处到某种程度大约差不多n.某地某处
4542,son,n.儿子孩子(长者对后辈的称呼)
4543,song,n.歌唱歌曲歌词(鸟等)鸣声
4544,soon,adv.不久很快早快
4545,sophisticated,adj.老于世故的高级的诡辩的精密的老练的尖端的
4546,sore,adj.痛的痛心的恼火的n.疮痛处adv.疼痛地
4547,sorrow,n.悲痛悲哀悲伤伤心事vi.悲伤惋惜悔恨
4548,sorry,adj.对不起的抱歉的难过的遗憾的int.对不起
4549,sort,n.种类类别特征方法vt.分类整理使明确vi.交往协调
4550,soul,"n.灵魂精神人心灵精髓鬼魂人黑人灵歌adj.美国黑人文化的黑人
的"
4551,sound,"adj.健康的健全的完好的可靠的合理的adv.酣畅地n.声音吵闹海
峡鱼鳔探针v.听起来发出声音探测深度探询vi.响发声"
4552,soup,n.汤羹n.困境
4553,sour,adj.酸的酸腐的刻薄的脾气坏的v.变酸n.酸物
4554,source,n.河的源头根源发源地来源原始资料
4555,south,n.南南方adj.南方的adv.在南方向南方自南方
4556,southeast,"n.东南东南地区adj.位于东南的东南的向东南的来自东南的adv.
往东南来自东南在东南"
4557,southern,adj.南方的南部的来自南方的
4558,southwest,"n.西南西南风西南地区adj.西南的来自西南方的adv.往西南来自
西南"
4559,sovereign,n.君主 a.统治的
4560,Soviet,n.苏维埃adj.苏维埃的苏联的
4561,sow,"vt.播(种)散布vi.播种散布n.母猪, 大母熊, 铁水沟铁锭"
4562,space,n.空间场地空地空白太空间隔v.留间隔分隔
4563,spacecraft,n.航天器宇宙飞船
4564,spaceship,n.航天飞船
4565,spacious,a.广阔的，广大的
4566,spade,n.铲铁锹在扑克牌中指黑桃v.铲vt.(用铲子)铲
4567,span,"n.跨距跨度间距一段时间vt.横跨贯穿估量动词spin的过去式形
式n.共轭动物"
4568,Spanish,adj.西班牙的西班牙人的西班牙语的n.西班牙人西班牙语
4569,spare,"vt.节约抽出饶恕赦免adj.多余的闲置的备用的简陋的n.剩余备
用品"
4570,spark,"n.火花火星朝气情人俗丽的年轻人vi.闪烁冒火花热情回应vt.激
发引起追求"
4571,sparkle,vi.发火花闪耀冒火花vt.使闪耀n.闪耀火花
4572,sparrow,n.麻雀
4573,spatial,a.空间的，占据空间的
4574,speak,vi.说话发言vt.说讲演说
4575,speaker,n.说话者发言者说某种语言者扬声器
4576,spear,n.矛(正负电子对撞机)枪vt用矛刺
4577,special,adj.特殊的特别的专门的n.特别的东西特价特刊特色菜
4578,specialist,n.专家
4579,speciality,n.专业，特长；特产
4580,specialize,vi.成为...专家专攻特殊化vt.专门研究专攻使...特殊化
4581,specially,adv.专门地特别地
4582,species,n.种，物种；种类
4583,specific,adj.特有的特殊的明确的具体的有特效的n.特效药特性详情
4584,specifically,"ad. 特定的,明确的"
4585,specification,n.载明，详述；规格
4586,specify,vi.指定详细说明阐述
4587,specimen,n.样本标本样品
4588,spectacle,n.场面；景象，奇观
4589,spectacular,"a. 公开展示的,惊人的 n. 展览物"
4590,spectator,n.参观者，观众
4591,spectrum,n.系列，范围；波谱
4592,speculate,vi.思索，沉思；投机
4593,speech,n.言语演说演讲语言能力方言
4594,speed,n.快速率速度迅速vi.快行加速急行
4595,spell,"vt.拼写缓慢地或吃力地读轮班休息用符咒镇住(某人) vi.拼字
n.魅力符咒一段时间轮班"
4596,spelling,n.拼字拼法拼写法
4597,spend,vt.用钱花费浪费度过
4598,sphere,n.球圆体范围领域天体vt.形成球体包围围绕
4599,spider,n.蜘蛛
4600,spill,vt.使溢出洒使...流出泄漏vi.溢出n.溢出流n.木片小杆
4601,spin,vt.使旋转疾驰纺织结网眩晕n.旋转纺织眩晕疾驰
4602,spiral,a.螺旋(形)的，盘旋的
4603,spirit,"n.精神气魄情绪心灵幽灵精灵(复)spirits: 精力情绪烈酒vt.使
精神振作偷偷带走"
4604,spiritual,adj.精神的心灵的与上帝有关的n.(尤指美国南部黑人的)圣歌
4605,spit,"vi.吐吐唾沫吐出降小雨vt.用炙叉叉住n.唾液口水小雨烤肉叉海
峡海角"
4606,splash,vt.溅泼 vi.泼水 n.溅
4607,splendid,adj.壮丽的显著的极好的辉煌的壮观的杰出的
4608,split,vt.劈开分离分开vi.被劈开adj.分散的n.劈开裂片裂口
4609,spoil,vt.损坏破坏糟蹋宠坏溺爱腐坏n.战利品奖品
4610,spokesman,n.发言人，代言人
4611,sponge,n.海绵海绵状的东西vt.用海绵擦拭吸收掉抹掉
4612,sponsor,n.发起者保证人赞助者主办者vt.发起赞助倡议
4613,spontaneous,a.自发的；本能的
4614,spoon,n.匙调羹匙状物vt.以匙舀起vi.调情
4615,sport,n.运动体育运动会vi.炫耀戏弄嬉戏adj.运动的户外穿戴的
4616,sportsman,n.运动员
4617,spot,"n.点斑点污点地点场所斑点职位聚光灯插播节目少量adj.当场的
现场买卖的抽样的插播的v.使沾上污点认出用灯光照射"
4618,spouse,"n. 配偶,夫妻"
4619,spray,n.浪花喷雾水沫喷雾器vt.喷喷雾扫射喷射
4620,spread,"vt.伸开伸展展开传播散布铺开涂撒n.传播伸展铺开幅度范围盛
宴差额"
4621,spring,"vi.跳跃射出涌入(出)发芽长高vt.弹起使喷涌越过弹出释放发生
跳裂开n.春天春季跳跃弹跳泉泉水弹簧投射"
4622,springtime,n.春季春天青春期初期
4623,sprinkle,n.洒撒散置小雨
4624,spur,n.刺激刺激物马刺鞭策支脉vt.刺激鞭策促进
4625,spy,n.间谍特务侦探侦察vt.侦察侦探看到找出vi.看侦察
4626,square,"n.正方形广场街区平方adj.正方形的正直的公正的结实的断然的
v.使...成方形调整一致收买adv.成直角直接的正方形地"
4627,squeeze,vt. &vi.榨挤压榨挤压塞进n.压榨勒索榨取
4628,squirrel,n.松鼠松鼠皮毛vt.储存
4629,stab,vt. &vi.刺戳刺伤n.刺戳刺痛尝试突然的一阵
4630,stability,n.稳定稳定性巩固居于修道院
4631,stabilize,"vt.使稳定,使坚固 vi.稳定,安定"
4632,stable,"adj.稳定的不变的安定的可靠的n.厩马厩马棚牛棚一批人vt.使
(马)入厩vi.入厩"
4633,stack,n.堆堆叠垛vt.堆积堆放
4634,stadium,n.露天大型运动场竞技场
4635,staff,n.工作人员参谋全体人员同事拐杖杆棒五线谱vt.配备员工
4636,stage,n.舞台驿站戏剧阶段vt.上演实行进行
4637,stagger,vi.蹒跚 vt.使摇晃
4638,stain,vt.玷污弄脏给...着色n.污点瑕疵染料着色剂
4639,stair,n.楼梯
4640,staircase,n.楼梯，楼梯间
4641,stake,n.桩赌金赌注利害关系奖品v.下注用桩支撑
4642,stale,"n.陈腐的走了气的(动物的)尿adj.不新鲜的陈腐的失效的vt.使
腐坏vi.变得不新鲜腐坏(动物)撒尿"
4643,stall,n.货摊，书摊；厩
4644,stamp,n.戳子邮票标志图章印跺脚v.跺脚盖章
4645,stand,vi.站坐落位于停滞忍受n.架台站立停顿楼台货摊
4646,standard,n.标准规格adj.标准的规范的普通的
4647,standpoint,n.立场观点
4648,star,n.星恒星明星v.以星状物装饰变成演员
4649,stare,vi.盯凝视vt.显眼(毛发)竖立n.凝视
4650,start,"vi.跳起出发开始起身vt.开始使震惊n.起点震动领先优势起推动
作用的外力"
4651,startle,vt.使大吃一惊 n.吃惊
4652,starve,vi.饿死挨饿受饿vt.使饿死使挨饿
4653,state,"n.状态国家州情形adj.国家的州的正式的vt.说说明阐明陈述声
明规定"
4654,statement,n.陈述声明
4655,statesman,n.政治家国务活动家
4656,static,"adj.静的静态的静力的静止的静电的n.静电静电干扰(猛烈的)反
对或抨击"
4657,station,n.站台所局车站位置地位vt.安置驻扎配置
4658,stationary,"a.固定的,静止不动的"
4659,statistical,adj.统计的统计学的
4660,statistics,n.统计，统计数字
4661,statue,n.塑像雕像铸像
4662,status,n.地位身分情形状况
4663,stay,vi.停留逗留住n.逗留停留支撑物倚赖的人或事
4664,steadily,adv.稳定地不变地稳固地坚定地
4665,steady,"adj.稳固的稳定的坚定的vt.使稳定使稳固(变得)稳固adv.平稳
地稳固地n.固定的事物"
4666,steal,vt.偷窍取n.偷窃便宜货(欺诈的)政治交易
4667,steam,n.蒸汽水蒸气vi.蒸发蒸冒热气vt.蒸
4668,steamer,n.轮船汽船蒸笼
4669,steel,n.钢钢铁钢制品vt.使...硬如钢使坚强使下定决心adj.钢的
4670,steep,adj.险峻的陡峭的(价格)过高的n.陡坡n.浸泡浸泡液v.浸泡沉浸
4671,steer,vt.&vi.驾驶掌舵引导操纵n.(食用的)公牛暗示
4672,stem,"n.茎(树)干柄船首vi.起源vt.抽去...的梗给...装柄逆...而行
n.血统，词干v.堵住阻止"
4673,step,n.(脚)步步骤步伐踏级vi.走vt.踏以步测量
4674,stereo,n.立体声 a.立体声的
4675,stereotype,"n.陈腔滥调,老套"
4676,stern,adj.严厉的坚定的坚决的苛刻的n.尾部船尾
4677,steward,n.乘务员服务员v.做乘务员管理
4678,stewardess,n.空中小姐女乘务员女管家
4679,stick,n.棍棒枝杆手杖vt.刺粘贴插于刺入竖起vi.钉住粘贴坚持
4680,sticky,adj.粘性的胶粘的闷热的困难的令人不满意的
4681,stiff,"adj.硬的僵直的生硬的拘谨的不灵活的adv.僵硬地极其n.死尸过
于拘谨的人流浪汉吝啬鬼醉鬼vt.诈骗失信不给小费"
4682,stiffen,vt.使硬使僵硬变为浓粘
4683,still,"adj.静止的不动的静寂的n.寂静沉默定格照酒厂adv.仍然更静止
地conj.然而但是vi.变沉默vt.使冷静抓住使停止使放松"
4684,stimulate,vt.刺激激励激发鼓舞vi.起刺激作用
4685,stimulus,"n. 刺激,激励,刺激品"
4686,sting,vt.刺刺痛使苦恼欺诈vi.刺叮刺痛n.刺痛刺讽刺
4687,stir,"vt.动拨动激动惹起搅和vi.挪动活动离开搅拌激动n.感动(激动
愤怒或震动), 搅拌骚乱"
4688,stitch,n.一针针脚疼痛碎布条vt.缝缝合
4689,stock,"n.原料库存品存货股本股份储备树干血统家畜adj.存货的平凡的
惯用的股票的畜牧的vt.进货采购储存供给vi.出新芽进货"
4690,stocking,n.长(统)袜
4691,stomach,n.胃胃口肚子食欲vt.忍受容忍
4692,stone,"n.石石头石块石料(水果的)硬核宝石英石(重量单位合14磅)vt.
向...扔石头去掉(水果的)核adj.石的石制的adv.(用于复合词)
全然地"
4693,stony,adj.多石的石头的石质的冷酷的铁石心肠的<古>石造的
4694,stool,n.凳子搁脚凳便桶根株vi.引诱
4695,stoop,vi.俯身弯下弯下上身屈服n.弯腰佝偻屈服
4696,stop,vt.塞住阻止停止停留n.停止车站逗留
4697,storage,n.贮藏贮藏量存储保管保管费仓库
4698,store,"n.贮藏贮存品商店仓库vt.储存贮藏供给保存(在计算机里)存贮
记忆adj.储备的"
4699,storey,n.(层)楼=story(美)
4700,storm,n.风暴暴(风)雨v.猛攻捣毁起风暴暴怒
4701,stormy,adj.有暴风雨的激烈的粗暴的
4702,story,"n.故事小说传说叙述新闻报道楼层(=storey)vt.以历史事件为图
案装饰"
4703,stove,n.炉子火炉电炉火炉窑烘房【主英】温室
4704,straight,"adj.直的正直的准的坦率的连续的异性恋的adv.直直接笔直地平
正了坦率的连续不断地n.直的东西传统的人"
4705,straightforward,a.老实的 ad.坦率地
4706,strain,vt.拉紧劳累过份使用vi.尽力n.紧张拉紧血统
4707,strange,adj.陌生的奇怪的adv.奇怪地
4708,stranger,n.陌生人新来者外地人新手
4709,strap,n.带子皮带vt.(用带)捆扎(用带)打
4710,strategic,"a. 战略的,战略上的"
4711,strategy,n.战略策略
4712,straw,"n.稻草麦杆吸管adj.用稻草做的用来作稻草的麦杆色的无价值的
象稻草人的非正式民意测验所发现的"
4713,strawberry,n.草莓
4714,stream,n.河(人车气)流水流组vi. &vt.流流出飘动接踵而来
4715,streamline,n.流线；流线型
4716,street,n.街街道行车道adj.街道的
4717,strength,n.力力量力气长处强度
4718,strengthen,vt.加强变坚固巩固
4719,stress,n.压力紧张重音负载vt.着重强调vi.强调着重
4720,stretch,vt.伸展张开vi.伸延伸n.伸展张开adj.可伸缩的
4721,strict,adj.严格的严谨的精确的完全的
4722,strictly,adv.严格地严谨地
4723,stride,vi.大踏步走 n.大步
4724,strike,vt. &vi.打击撞罢工划燃n.罢工打击殴打
4725,striking,a.显著的，惊人的
4726,string,"n.线细绳一串字串vt.串起成串收紧悬挂系扎vi.给...装弦adj.
线的"
4727,strip,vt.剥夺剥去夺去脱衣n.条带长条条状脱衣舞
4728,stripe,n.条纹条子条纹布军士军阶种类鞭打抽打vt.使...带有条纹
4729,strive,vi.努力，奋斗，力求
4730,stroke,"n.打击鸣声中风笔画连续的动作心跳抚摩捋vt.奉承轻抚摩捋vi.
击打心跳..."
4731,strong,adj.强壮的强烈的坚强的浓的擅长的
4732,strongly,adv.强壮地强烈地强有力地坚固地坚强地激烈地
4733,structural,adj.结构的构造的建筑的建筑用的
4734,structure,n.结构构造建筑物vt.建造构造
4735,struggle,n. &vi.斗争挣扎竞争奋斗
4736,stubborn,a.顽固的；顽强的
4737,student,n.学生研究生学者
4738,studio,n.工作室；播音室
4739,study,"n.学习研究学科沉思书房vt.学读书计划研究记忆调查vi.学习研
究沉思"
4740,stuff,n.材料原料东西素质本质废物vt.装填塞填满塞满
4741,stumble,vi.绊倒犯错失策踌躇无意中发现vt.绊倒困惑n.绊倒失策
4742,stupid,adj.愚蠢的感觉迟钝的笨拙的n.傻瓜
4743,sturdy,a.坚定的；牢固的
4744,style,n.风格文体式样时尚类型vt.称呼设计
4745,subject,"n.题目学科,主语主题话题题材主观(君主国)国民实验对象adj.
服从的易患的vt.使隶属使服从使遭遇"
4746,subjective,"a. 主观的,个人的"
4747,submarine,adj.水下的海底的n.潜水艇vt.用潜艇袭击vi.滑入...底下
